Epoch,Training_errors,Validation_errors
780,5.87837E-05,5.73484E-05
781,4.85562E-05,5.67324E-05
782,4.57379E-05,5.7589E-05
783,5.75577E-05,5.56336E-05
784,4.32756E-05,5.61929E-05
785,5.00499E-05,5.70801E-05
786,4.46128E-05,5.76053E-05
787,5.55847E-05,5.66548E-05
788,5.06838E-05,5.66701E-05
789,5.17402E-05,5.77579E-05
790,4.28893E-05,5.61338E-05
791,6.41531E-05,6.72896E-05
792,8.68847E-05,8.38012E-05
793,6.30412E-05,5.91331E-05
794,4.85818E-05,5.60267E-05
795,5.43494E-05,5.80956E-05
796,5.23447E-05,5.68963E-05
797,5.22142E-05,5.87835E-05
798,4.58319E-05,5.64582E-05
799,4.72231E-05,5.63265E-05
800,4.15003E-05,5.50108E-05
801,6.36013E-05,7.229E-05
802,6.79647E-05,7.8795E-05
803,6.90092E-05,7.54065E-05
804,4.65948E-05,5.59637E-05
805,4.83367E-05,5.38766E-05
806,5.17912E-05,6.13028E-05
807,4.64572E-05,5.30494E-05
808,6.01213E-05,6.06219E-05
809,6.90351E-05,6.52488E-05
810,6.22823E-05,5.21102E-05
811,5.31017E-05,5.58106E-05
812,4.46261E-05,5.25587E-05
813,5.92491E-05,6.35428E-05
814,7.76189E-05,8.77621E-05
815,5.84379E-05,6.87582E-05
816,4.30707E-05,5.69467E-05
817,6.61362E-05,7.40694E-05
818,6.19256E-05,6.12003E-05
819,5.40122E-05,5.9441E-05
820,4.5709E-05,5.68152E-05
821,5.13953E-05,5.38131E-05
822,5.70124E-05,6.43771E-05
823,5.72514E-05,6.43968E-05
824,5.28322E-05,5.45455E-05
825,4.70409E-05,5.43871E-05
826,4.49607E-05,5.04682E-05
827,6.18239E-05,6.34626E-05
828,5.05501E-05,5.13955E-05
829,5.34783E-05,5.34842E-05
830,5.45813E-05,5.54257E-05
831,4.5385E-05,5.07293E-05
832,4.42774E-05,5.03519E-05
833,4.80692E-05,5.24386E-05
834,4.95449E-05,5.22565E-05
835,5.90381E-05,5.86633E-05
836,5.0485E-05,5.24722E-05
837,4.56058E-05,5.36293E-05
838,4.77203E-05,5.24743E-05
839,4.98245E-05,5.63848E-05
840,4.38367E-05,5.24691E-05
841,4.83073E-05,5.22243E-05
842,4.51114E-05,5.27623E-05
843,5.22637E-05,6.15233E-05
844,9.28303E-05,9.88656E-05
845,5.25483E-05,5.58408E-05
846,4.65395E-05,5.44662E-05
847,4.78525E-05,5.63078E-05
848,3.95475E-05,5.23164E-05
849,5.13556E-05,5.10526E-05
850,5.12882E-05,5.20793E-05
851,4.74406E-05,4.91293E-05
852,4.89335E-05,5.10472E-05
853,5.09633E-05,5.72754E-05
854,4.6629E-05,5.22404E-05
855,8.03743E-05,7.79453E-05
856,7.74943E-05,7.49567E-05
857,4.63206E-05,5.25955E-05
858,4.98699E-05,5.11874E-05
859,4.10963E-05,5.24753E-05
860,4.62295E-05,5.11073E-05
861,3.25348E-05,5.00573E-05
862,4.59028E-05,5.38961E-05
863,4.57458E-05,4.97873E-05
864,6.66387E-05,6.68112E-05
865,4.25312E-05,5.17216E-05
866,5.70949E-05,5.27053E-05
867,4.06897E-05,5.17108E-05
868,5.87039E-05,5.80432E-05
869,4.00683E-05,4.79802E-05
870,4.73234E-05,4.79072E-05
871,4.64522E-05,5.09814E-05
872,4.19219E-05,4.91828E-05
873,4.31003E-05,5.00302E-05
874,4.58209E-05,4.77845E-05
875,4.1241E-05,5.14054E-05
876,4.57494E-05,5.0354E-05
877,4.00106E-05,4.74339E-05
878,3.88783E-05,4.95938E-05
879,4.68701E-05,4.74102E-05
880,4.39743E-05,4.79229E-05
881,5.79356E-05,5.21832E-05
882,3.8766E-05,4.66277E-05
883,4.87672E-05,4.76924E-05
884,3.7402E-05,4.75258E-05
885,3.89656E-05,4.64083E-05
886,4.42337E-05,5.5378E-05
